ID	SMILES	compound_name	DT50_count	DT50_gmean	DT50_log_median	DT50_log_gmean	DT50_log_spread	DT50_log_std	DT50_log_bayesian_mean	DT50_log_bayesian_std	DT50_log_bayesian_mean_std	canonical_SMILES	cropped_canonical_SMILES	cropped_canonical_SMILES_no_stereo	pathway_name	compound_id	node_depth	acidity_std	CEC_log_std	OC_log_std	biomass_log_std	temperature_std	logDT50_mean	logDT50_std
808	COc1n[nH]c(=O)n1C	MMT	4	11.937299174276315	17.15	1.0769060783520321	0.7823883033268983	0.3188490205001123	1.09	0.42	0.24	COc1n[nH]c(=O)n1C	COc1n[nH]c(=O)n1C	COc1n[nH]c(=O)n1C	Thiencarbazone-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/b7c03685-2b64-42fd-8545-d2fd66372aa7/structure/9b92222a-40a8-4201-b239-9e303c4bc759	1	0.48476798574163305	0.2504413546006109			0.0	1.09	0.24
809	COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	Thifensulfuron-methyl	2	4.0	4.0	0.6020599913279624	0.0	0.0	0.62	0.4	0.34	COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1	Thifensulfuron-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/b96e6d83-9522-48ee-aeec-96c3a15e2721/structure/3748ab72-cec9-462c-b974-8e3b8bee07ec	0	0.10000000000000009	0.06800208137923003			0.0	0.62	0.34
810	CCN(CC)C(=O)SCc1ccc(Cl)cc1	Thiobencarb	5	98.1181176510493	72.1	1.9917492078832693	0.849799514690637	0.3087495929849961	2.0	0.39	0.19	CCN(CC)C(=O)SCc1ccc(Cl)cc1	CCN(CC)C(=O)SCc1ccc(Cl)cc1	CCN(CC)C(=O)SCc1ccc(Cl)cc1	Thiobencarb	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/1990fcbf-dedc-452a-bdbf-d12a02141bc7/structure/69960d72-7319-4a5a-aef7-ebd93eadc969	0	0.7194442299441981	0.2243921115972966			4.454211490264017	2.0	0.19
811	Nc1nc2ccccc2[nH]1	2-AB (2-Amine-1H-benzimidazole)	4	11.779607882254693	12.5	1.0711308339648875	0.6449399878093537	0.2306387230708716	1.07	0.37	0.21	Nc1nc2ccccc2[nH]1	Nc1nc2ccccc2[nH]1	Nc1nc2ccccc2[nH]1	Thiophanate-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/53b22ee2-a22f-49c9-ab8a-679005eddd38/structure/8c41c22c-2ea3-4709-94da-e90c0f37d21e	2	0.6759252917297888	0.24504342193906048			0.3897114317029968	1.07	0.21
812	COC(=O)NC(=O)Nc1cccc2sc(NC(=O)OC)nc12	CM-0237 (M2)	2	63.421210962894726	66.5	1.8022345301773839	0.26956315457486024	0.13478157728743012	1.77	0.41	0.34	COC(=O)NC(=O)Nc1cccc2sc(NC(=O)OC)nc12	COC(=O)NC(=O)Nc1cccc2sc(NC(=O)OC)nc12	COC(=O)NC(=O)Nc1cccc2sc(NC(=O)OC)nc12	Thiophanate-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/0dd44ad5-1b04-4e3a-96b9-7a006f90788b/structure/fae5e454-4264-4c87-b828-898c4e1146ec	1	0.5	0.2793542852665829			0.0	1.77	0.34
813	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	Thiophanate-methyl	5	0.6816752865952325	0.59	-0.1664224505957524	1.045757490560675	0.3510382064066425	-0.14	0.43	0.22	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	Thiophanate-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/e5b2f7a8-f0f6-4c19-b1c9-dae5ff269ffc/structure/83e76bba-3861-4f5c-94db-cf352a828365	0	0.6228964600958975	0.21996895443679215			3.9255063367672713	-0.14	0.22
814	COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl	Tolclofos-methyl	8	19.45781625560741	20.0	1.2890940979386925	0.4771212547196624	0.14515691929057298	1.29	0.29	0.11	COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl	COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl	COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl	Tolclofos-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/ef3315c8-1547-49c4-a7d5-bafd19c0e15a/structure/07bd3095-0687-427e-8a66-ecf65c532044	0	0.9536115561380325	0.14463877803357642			4.635124054434789	1.29	0.11
815	COP(O)(=S)Oc1c(Cl)cc(C)cc1Cl	DM-TM	3	0.17716759849657207	0.67	-0.7516157016410332	1.919078092376074	0.8835571742543552	-0.45	0.59	0.43	COP(O)(=S)Oc1c(Cl)cc(C)cc1Cl	COP(O)(=S)Oc1c(Cl)cc(C)cc1Cl	COP(O)(=S)Oc1c(Cl)cc(C)cc1Cl	Tolclofos-methyl	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/c1d2d7ac-c155-4255-913d-082667dcf250/structure/afa8d42f-0f36-440f-a970-adc8f022e784	1	1.1469767022723503	0.29826419994135556			0.0	-0.45	0.43
816	Cc1ccc(NS(=O)(=O)N(C)C)cc1	DMST (II)	4	2.3872578227466987	2.55	0.37789932514398733	0.7144821705142664	0.29412376395374756	0.4	0.41	0.23	Cc1ccc(NS(=O)(=O)N(C)C)cc1	Cc1ccc(NS(=O)(=O)N(C)C)cc1	Cc1ccc(NS(=O)(=O)N(C)C)cc1	Tolylfluanid	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/f848a0c8-a710-4784-8c81-f26994ce5847/structure/5f13731b-23cd-4de8-81ae-90b10dd78fd2	1	0.6139014578904338				0.0	0.4	0.23
817	Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1	Tolylfluanid	6	1.3474063739818698	1.65	0.12949859747606748	0.7958800173440752	0.2671198687042713	0.11	0.38	0.2	Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1	Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1	Cc1ccc(N(SC(F)(Cl)Cl)S(=O)(=O)N(C)C)cc1	Tolylfluanid	https://envipath.org/package/5882df9c-dae1-4d80-a40e-db4724271456/compound/2133844d-b174-4690-90c9-efeab2d65725/structure/d4c1b2ec-47f1-4463-ae12-57508a4a4121	0	0.5047001309908907				0.0	0.11	0.2
